transaction_id,store_id,sale_date,product_category,quantity,supplier,region,unit_cost,unit_price,inventory_level,labour_hours,labour_cost,revenue,cogs,gross_profit
T000571,S06,2025-06-27,Sports,2.0,ActivePro,East,59.53,121.7,31.0,2.76,73.19,243.4,119.06,51.150000000000006
T000827,S27,2025-01-06,Grocery,2.0,FreshFarm,West,6.41,10.74,14.0,4.56,125.6,21.48,12.82,-116.94
T000175,S01,2025-05-06,Electronics,8.0,NorthStar,East,231.33,289.13,48.0,5.34,113.35,2313.04,1850.64,349.04999999999984
T000865,S24,2025-01-04,Electronics,4.0,NorthStar,West,254.64,340.15,63.0,3.55,99.26,1360.6,1018.56,242.77999999999997
T001088,S27,2025-01-26,Home Goods,2.0,BudgetSource,West,51.48,100.44,19.0,4.22,134.57,200.88,102.96,-36.64999999999999
T001320,S03,2025-05-13,Beauty,7.0,GlowWorks,North,16.24,32.2,83.0,4.21,86.04,225.40000000000003,113.67999999999999,25.680000000000035
T002753,S18,2025-06-01,Electronics,1.0,NorthStar,West,220.57,296.03,50.0,3.75,97.26,296.03,220.57,-21.800000000000026
T002610,S28,2025-04-02,Electronics,4.0,NorthStar,West,251.66,330.6,20.0,5.68,189.79,1322.4,1006.64,125.97000000000011
T001297,S05,2025-01-07,Clothing,9.0,StyleHub,East,32.07,60.07,76.0,5.06,136.2,540.63,288.63,115.80000000000001
T002840,S12,2025-04-04,Home Goods,1.0,BudgetSource,South,54.64,102.4,105.0,3.81,82.44,102.4,54.64,-34.67999999999999
T001688,S21,2025-05-21,Sports,1.0,ActivePro,North,51.98,109.39,155.0,4.78,105.4,109.39,51.98,-47.99
T001074,S15,2025-06-13,Home Goods,2.0,BudgetSource,East,48.34,83.97,121.0,5.82,149.65,167.94,96.68,-78.39000000000001
T002179,S11,2025-05-08,Sports,1.0,ActivePro,South,54.9,102.65,146.0,5.51,131.19,102.65,54.9,-83.44
T002172,S23,2025-02-20,Clothing,4.0,StyleHub,South,25.66,45.52,147.0,3.23,77.89,182.08,102.64,1.5500000000000114
T002437,S16,2025-04-06,Electronics,3.0,NorthStar,South,250.46,302.1,73.0,5.33,108.95,906.3000000000001,751.38,45.97000000000007
T001923,S20,2025-06-22,Clothing,4.0,StyleHub,South,26.07,57.32,24.0,3.73,83.24,229.28,104.28,41.760000000000005
T002391,S22,2025-05-11,Home Goods,3.0,BudgetSource,South,48.11,87.49,20.0,4.48,106.24,262.46999999999997,144.32999999999998,11.899999999999991
T002716,S10,2025-03-22,Clothing,3.0,StyleHub,South,25.13,58.29,40.0,4.08,106.33,174.87,75.39,-6.849999999999994
T000433,S23,2025-03-08,Electronics,3.0,NorthStar,South,261.58,358.64,120.0,4.24,120.88,1075.92,784.74,170.30000000000007
T002283,S12,2025-05-05,Home Goods,2.0,BudgetSource,South,39.15,74.58,35.0,4.4,107.59,149.16,78.3,-36.730000000000004
T000637,S16,2025-01-26,Sports,3.0,ActivePro,South,64.62,112.33,139.0,4.74,105.82,336.99,193.86,37.31
T000861,S07,2025-05-13,Grocery,1.0,FreshFarm,North,7.19,10.82,89.0,4.34,123.55,10.82,7.19,-119.92
T000046,S13,2025-01-29,Grocery,3.0,FreshFarm,East,8.95,12.99,68.0,4.06,114.17,38.97,26.849999999999998,-102.05
T002077,S27,2025-02-18,Sports,2.0,ActivePro,West,53.37,97.17,0.0,6.96,156.29,194.34,106.74,-68.68999999999998
T001249,S18,2025-02-21,Clothing,1.0,StyleHub,West,23.4,44.46,3.0,4.56,121.99,44.46,23.4,-100.92999999999999
T000118,S12,2025-01-21,Sports,3.0,ActivePro,South,51.85,97.71,70.0,4.82,104.85,293.13,155.55,32.72999999999999
T002434,S26,2025-01-10,Home Goods,1.0,BudgetSource,West,41.19,84.52,1.0,5.49,144.36,84.52,41.19,-101.03000000000002
