transaction_id,store_id,sale_date,product_category,quantity,supplier,region,unit_cost,unit_price,inventory_level,labour_hours,labour_cost
T000571,S06,2025-06-27 00:00:00,Sports,2,activepro,East,59.53,121.7,31,2.76,73.19 CAD
T000763,S18,2025-02-14 00:00:00,Beauty,2,Glow Works,West,17.62,40.84,10,,119.32
T000623,S03,,Electronics,1, NORTHSTAR ,North,235.26,308.8,145,4.66,103.05
T000827,S27,2025-01-06 00:00:00,Grocery,2,FreshFarm,West,6.41,10.74,14,4.56,125.6
T000175,S01,2025-05-06 00:00:00,Electronics,8,NorthStar,East,231.33,289.13,48,5.34,113.35
T000865,S24,2025-01-04 00:00:00,Electronics,4,northstar,West,254.64,340.15,63,3.55,99.26
T001088,S27,2025-01-26 00:00:00,Home,2,BudgetSource,West,51.48,100.44,19,4.22,134.57
T001320,S03,2025-05-13 00:00:00,Beauty,7,GlowWorks,North,16.24,32.2,83,4.21,86.04
T002753,S18,2025-06-01 00:00:00,Electronics,1,NorthStar,West,220.57,$296.03,50,3.75,97.26
T002610,S28,2025-04-02 00:00:00,Electronics,4,NorthStar,West, 251.66 ,330.6,20,5.68,189.79
T001297,S05,07-Jan-2025,Apparel,9,StyleHub,East,32.07,60.07,76,5.06,136.2
T002840,S12,04/04/2025,Home,1,BudgetSource,South,$54.64,102.4,105,3.81,82.44 CAD
T002834,S24,2025-04-07 00:00:00,Grocery,-1,FreshFarm,West,8.26,12.41,15,2.83,76.99
T001688,S21,2025-05-21 00:00:00,Sports,1,ActivePro,North,51.98,109.39,155,4.78,105.4
T001074,S15,2025-06-13 00:00:00,Home,2,BudgetSource,East,48.34,83.97,121,5.82,149.65
T002179,S11,2025-05-08 00:00:00,Sports,1,ActivePro,South,54.9,102.65,146,5.51,131.19
T002172,S23,2025-02-20 00:00:00,Apparel,4,StyleHub,South,25.66,$45.52,147,3.23,77.89 CAD
T002437,S16,2025-04-06 00:00:00,Electronics,3,NorthStar,South,250.46,302.1,73,5.33,108.95
T001923,S20,2025-06-22 00:00:00,Apparel,4,StyleHub,South,26.07,57.32,24,3.73,83.24
T000431,S02,2025-06-02 00:00:00,Apparel,2,StyleHub,South,27.89,57.69 CAD,123,unknown,147.45
T000267,S05,2025-04-19 00:00:00,Apparel,1,StyleHub,East,nan,67.58,56,4.6,105.14
T002391,S22,2025-05-11 00:00:00,Home,3,BudgetSource,South,48.11,87.49,20,4.48,106.24
T002716,S10,2025-03-22 00:00:00,Apparel,3,StyleHub,South,25.13,58.29,40,4.08,106.33
T000433,S23,2025-03-08 00:00:00,Electronics,3,North Star,South,261.58,358.64,120,4.24,120.88
T002422,S23,2025-04-26 00:00:00,electronics,7,NorthStar,South,227.77,$292.40,-13,4.18,97.25
T002283,S12,2025-05-05 00:00:00,Home,2,BUDGETSOURCE,South,39.15,74.58,35,4.4,107.59
T000637,S16,2025-01-26 00:00:00,Sporting Goods,3,ActivePro,South,64.62, 112.33 ,139,4.74,105.82
T000861,S07,2025-05-13 00:00:00,Grocery,1,FreshFarm,North,7.19,10.82,89,4.34,$123.55
T000046,S13,2025-01-29 00:00:00,Grocery,3,FreshFarm,East,8.95,12.99,68,4.06,114.17
T002077,S27,2025-02-18 00:00:00,Sports,2,ActivePro,West,53.37,97.17,0,6.96,156.29
T001249,S18,2025-02-21 00:00:00,APPAREL,1,StyleHub,West,23.4,$44.46,3,4.56,121.99
T000118,S12,2025-01-21 00:00:00,Sports,3,ActivePro,South,51.85,97.71,70,4.82,104.85
T002434,Store-26,2025-01-10 00:00:00,Home,1,BudgetSource,West,41.19,84.52,1,5.49,144.36
T001303,S19,2025-01-06 00:00:00,Apparel,2,STYLEHUB,South,27.26,55.32,87,3.29,89.68
T000828,S28,2025-01-14 00:00:00,Beauty,1,GlowWorks,West,15.93,37.4,25,4.08,116.66
T000414,S08,2025-02-08 00:00:00,Electronics,0,NorthStar,South,$251.46,332.67,114,4.61,135.92 CAD
T002146,S06,2025-01-06 00:00:00,Home,2,BudgetSource,East,47.46,83.14,144,4.28,89.09
T001548,S04,2025-06-01 00:00:00,Sports,3,ActivePro,East,51.45 CAD,$91.78,88,3.52,84.3
T002304,S01,2025-06-13 00:00:00,Beauty,2,GlowWorks,East,19.59,43.74,85,5.2,108.74
T001792,Store-23,2025-01-10 00:00:00,Sports,3,ActivePro,South,55.19,96.37,21,5.18,97.07
T001803,S08,2025-06-03 00:00:00,Electronics,3,NorthStar,South,219.75,307.87,156,5.24,132.75
T000518,S15,2025-02-14 00:00:00,Beauty,1,GlowWorks,East,18.45,41.3,21,4.74,108.7
T000273,S12,22-May-2025,Home,1,BudgetSource,South,$45.48,88.67 CAD,15,6.66,195.42
T001719,S09,2025-01-11 00:00:00,GROCERIES,4,FreshFarm,East,7.05,11.23,64,4.59,102.15
T000683,S14,2025-02-14 00:00:00,Beauty,3,GlowWorks,West,15.77,37.28,54,2.17,56.15
T001915,S27,2025-03-25 00:00:00,Sports,4,ActivePro,West,51.91,92.08,20,5.38,159.75
T000280,S21,2025-05-10 00:00:00,Beauty,1,GlowWorks,North,,31.92,26,6.45,178.93
T002640,S21,2025-06-01 00:00:00,Sports,3,ActivePro,North,57.29,117.06,56,5.29,136.15
T001873,S14,25-Jan-2025,Apparel,4,StyleHub,West,27.03,$50.95,40,5.47,160.08
T001685,S05,02/26/2025,Apparel,1,StyleHub,East,24.95,52.55,44,3.1,69.58
T002755,S28,2025-04-05 00:00:00,Apparel,2,StyleHub,West,29.92,$57.10,16,3.94,106.67
T001286,Store-29,2025-01-22 00:00:00,beauty,2,GlowWorks,West,17.65,38.88,11,4.25,131.26
T001989,S16,2025-01-09 00:00:00,Electronics,3,NorthStar,South,225.05,$324.63,47,5.22,162.34
T000107,S25,2025-06-23 00:00:00,Beauty,3,GlowWorks,West,16.83,37.59,34,3.09,84.71
T000740,S16,2025-06-27 00:00:00,Grocery,3,FreshFarm,South,8.22,12.2,154,5.24,138.02
T000288,04,2025-06-23 00:00:00,Home,3,BudgetSource,East,43.3,87.18,134,5.64,133.82
T002361,S26,2025-05-01 00:00:00,APPAREL,2,StyleHub,West,27.23,57.06,16,3.94,139.14
T001317,S05,2025-06-29 00:00:00,Grocery,2,FreshFarm,East,8.13 CAD,13.36,106,5.43, 125.27 
T001020,S05,2025-02-23 00:00:00,Electronics,3,NorthStar,East,209.89,268.79,37,4.38,120.75
T002762,S17,2025-01-27 00:00:00,Apparel,0,StyleHub,North,27.3,60.56,145,3.24,83.71
T002087,S30,2025-06-29 00:00:00,Grocery,-1,FreshFarm,West,8.87,14.84,21,5.3,$154.16
T000933,15,03-May-2025,Apparel,6,StyleHub,East,27.53,$60.89,153,2.79,76.3
T000548,S12,2025-01-04 00:00:00,Electronics,3,NorthStar,South,177.04,239.73,107,4.23,104.29
T000308,S22,2025-05-28 00:00:00,Grocery,4,FreshFarm,South,8.27,12.63,151,3.99,117.99
T000521,S14,2025-04-20 00:00:00,Grocery,2,FreshFarm,West,7.89,11.74,39,5.42,183.35
T002038,S11,2025-06-20 00:00:00,Electronics,4,NorthStar,South,$245.84,328.02,108,4.52,119.04
T002339,S30,2025-01-04 00:00:00,Grocery,7,FreshFarm,West,9.39,14.09,32,3.05,81.67
T000602,S16,2025-03-21 00:00:00,Electronics,6,NorthStar,South,221.06,278.97,95,4.05,112.61
T001955,S27,2025-01-19 00:00:00,Beauty,1,GlowWorks,West,18.88,42.46,,5.52,163.15
T002440,S26,2025-01-19 00:00:00,Apparel,2,StyleHub,West,30.89,$58.15,49,6.16,146.58
T001032,S02,2025-06-23 00:00:00,Apparel,5,StyleHub,South,29.73,62.59,145,4.3,98.61
T000277,S06,27-Jan-2025,Beauty,1,GlowWorks,East,18.4,39.62,83,6.58,$172.70
T000435,S17,2025-03-06 00:00:00,Grocery,1,FRESHFARM,North,7.36,10.6,33,4.22,112.53
T002394,S30,2025-01-19 00:00:00,Grocery,2,FreshFarm,West,8.28,11.58,47,5.71,$155.39
T002656,S11,2025-04-22 00:00:00,apparel,5,STYLEHUB,South,25.84,53.42,33,5.05,143.07 CAD
T002838,S02,2025-03-05 00:00:00,Grocery,5,FreshFarm,South,8.25,13.58,87,5.1,129.37
T000960,S11,,Apparel,2,StyleHub,South,25.80 CAD,53.51,131,3.01,90.63
